Species1,Species2,Count
Carnaby's Black Cockatoo,Carnaby's Black Cockatoo,141
Regent Honeyeater,Regent Honeyeater,437
Green Turtle,Green Turtle,301
Green Turtle,Regent Honeyeater,73
Regent Honeyeater,Green Turtle,73
Swift Parrot,Swift Parrot,593
Regent Honeyeater,Swift Parrot,319
Swift Parrot,Regent Honeyeater,319
Growling Grass Frog,Growling Grass Frog,358
Growling Grass Frog,Regent Honeyeater,97
Regent Honeyeater,Growling Grass Frog,97
Australasian Bittern,Australasian Bittern,660
Northern Quoll,Northern Quoll,247
Malleefowl,Malleefowl,280
Southern Bent-wing Bat,Southern Bent-wing Bat,99
Malleefowl,Southern Bent-wing Bat,24
Southern Bent-wing Bat,Malleefowl,24
Orange-bellied Parrot,Orange-bellied Parrot,208
Malleefowl,Orange-bellied Parrot,33
Orange-bellied Parrot,Malleefowl,33
Red Goshawk,Red Goshawk,323
Olive Ridley Turtle,Olive Ridley Turtle,115
Koala,Koala,470
Koala,Regent Honeyeater,278
Regent Honeyeater,Koala,278
Australasian Bittern,Regent Honeyeater,280
Regent Honeyeater,Australasian Bittern,280
Australasian Bittern,Swift Parrot,358
Swift Parrot,Australasian Bittern,358
Australasian Bittern,Malleefowl,118
Malleefowl,Australasian Bittern,118
Australasian Bittern,Growling Grass Frog,245
Growling Grass Frog,Australasian Bittern,245
Australasian Bittern,Southern Bent-wing Bat,68
Southern Bent-wing Bat,Australasian Bittern,68
Australasian Bittern,Orange-bellied Parrot,153
Orange-bellied Parrot,Australasian Bittern,153
Australian Sea-lion,Australian Sea-lion,104
Australasian Bittern,Australian Sea-lion,53
Australian Sea-lion,Australasian Bittern,53
Eastern Curlew,Eastern Curlew,465
Australasian Bittern,Eastern Curlew,237
Eastern Curlew,Australasian Bittern,237
Plains-wanderer,Plains-wanderer,226
Australasian Bittern,Plains-wanderer,143
Plains-wanderer,Australasian Bittern,143
Malleefowl,Plains-wanderer,62
Plains-wanderer,Malleefowl,62
Eastern Hooded Plover,Eastern Hooded Plover,289
Australian Sea-lion,Malleefowl,44
Malleefowl,Australian Sea-lion,44
Australasian Bittern,Koala,222
Koala,Australasian Bittern,222
Green Turtle,Northern Quoll,90
Northern Quoll,Green Turtle,90
Northern Quoll,Red Goshawk,165
Red Goshawk,Northern Quoll,165
Koala,Red Goshawk,221
Red Goshawk,Koala,221
Malleefowl,Swift Parrot,59
Swift Parrot,Malleefowl,59
Growling Grass Frog,Malleefowl,85
Malleefowl,Growling Grass Frog,85
Orange-bellied Parrot,Regent Honeyeater,55
Regent Honeyeater,Orange-bellied Parrot,55
Orange-bellied Parrot,Swift Parrot,77
Swift Parrot,Orange-bellied Parrot,77
Growling Grass Frog,Orange-bellied Parrot,106
Orange-bellied Parrot,Growling Grass Frog,106
Orange-bellied Parrot,Southern Bent-wing Bat,45
Southern Bent-wing Bat,Orange-bellied Parrot,45
Australian Sea-lion,Orange-bellied Parrot,23
Orange-bellied Parrot,Australian Sea-lion,23
Australian Sea-lion,Green Turtle,20
Green Turtle,Australian Sea-lion,20
Growling Grass Frog,Swift Parrot,202
Swift Parrot,Growling Grass Frog,202
Koala,Swift Parrot,290
Swift Parrot,Koala,290
Malleefowl,Regent Honeyeater,29
Regent Honeyeater,Malleefowl,29
Green Turtle,Malleefowl,18
Malleefowl,Green Turtle,18
Australasian Bittern,Eastern Hooded Plover,192
Eastern Hooded Plover,Australasian Bittern,192
Australasian Bittern,Carnaby's Black Cockatoo,59
Carnaby's Black Cockatoo,Australasian Bittern,59
Green Turtle,Olive Ridley Turtle,112
Olive Ridley Turtle,Green Turtle,112
Eastern Curlew,Red Goshawk,124
Red Goshawk,Eastern Curlew,124
Eastern Curlew,Malleefowl,51
Malleefowl,Eastern Curlew,51
Australian Sea-lion,Eastern Curlew,39
Eastern Curlew,Australian Sea-lion,39
Eastern Curlew,Plains-wanderer,42
Plains-wanderer,Eastern Curlew,42
Eastern Curlew,Koala,143
Koala,Eastern Curlew,143
Australian Sea-lion,Carnaby's Black Cockatoo,43
Carnaby's Black Cockatoo,Australian Sea-lion,43
Carnaby's Black Cockatoo,Eastern Curlew,35
Eastern Curlew,Carnaby's Black Cockatoo,35
Koala,Plains-wanderer,21
Plains-wanderer,Koala,21
Brush-tailed Rock-wallaby,Brush-tailed Rock-wallaby,101
Brush-tailed Rock-wallaby,Koala,95
Koala,Brush-tailed Rock-wallaby,95
New Holland Mouse,New Holland Mouse,144
Koala,New Holland Mouse,106
New Holland Mouse,Koala,106
Growling Grass Frog,Plains-wanderer,136
Plains-wanderer,Growling Grass Frog,136
Australian Sea-lion,Plains-wanderer,13
Plains-wanderer,Australian Sea-lion,13
Eastern Curlew,Eastern Hooded Plover,122
Eastern Hooded Plover,Eastern Curlew,122
Plains-wanderer,Regent Honeyeater,72
Regent Honeyeater,Plains-wanderer,72
Plains-wanderer,Red Goshawk,1
Red Goshawk,Plains-wanderer,1
