FID,COUNT,LISTED_TAX,SCIENTIFIC,COMMON_NAM,Shape__Area,Shape__Length
1,1,1270,Tiliqua adelaidensis,"Pygmy Blue-tongue Lizard, Adelaide Blue-tongue Lizard",19135076665.6094,1235244.59749889
2,1,83091,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum,85121024482.9629,6076221.90026208
3,1,59523,Zanda latirostris,"Carnaby's Black Cockatoo, Short-billed Black-cockatoo",53516492381.8516,13373777.0223783
4,1,68,Zyzomys pedunculatus,"Central Rock-rat, Antina",269834984.121094,92014.1603806252
5,2,82338,Anthochaera phrygia,Regent Honeyeater,541378833.460938,111232.435139988
5,2,267,Burramys parvus,Mountain Pygmy-possum,541378833.460938,111232.435139988
6,2,82338,Anthochaera phrygia,Regent Honeyeater,156830345.289063,50440.5183913282
6,2,1765,Chelonia mydas,Green Turtle,156830345.289063,50440.5183913282
7,2,82338,Anthochaera phrygia,Regent Honeyeater,898784374.007813,218428.109907053
7,2,273,Gymnobelideus leadbeateri,Leadbeater's Possum,898784374.007813,218428.109907053
8,2,82338,Anthochaera phrygia,Regent Honeyeater,23430024822.3945,4880564.49804819
8,2,744,Lathamus discolor,Swift Parrot,23430024822.3945,4880564.49804819
9,2,82338,Anthochaera phrygia,Regent Honeyeater,153564284.929688,49853.7278613516
9,2,1828,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",153564284.929688,49853.7278613516
10,1,8301,Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",3097727003.45313,524343.3310126
11,1,82338,Anthochaera phrygia,Regent Honeyeater,14374111720.8047,2450542.7618021
12,1,64415,Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",41253062.0546875,25955.2522726451
13,1,1001,Botaurus poiciloptilus,Australasian Bittern,14929885971.6836,3401637.34591962
14,1,267,Burramys parvus,Mountain Pygmy-possum,1973055684.15625,380892.547358006
15,1,25982,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo,1803392992.65234,357309.56690905
