FID,COUNT,SCIENTIFIC,COMMON_NAM
1,1,Tiliqua adelaidensis,Pygmy Blue-tongue Lizard
2,1,Trichosurus vulpecula arnhemensis,Northern Brushtail Possum
3,1,Zanda latirostris,Carnaby's Black Cockatoo
4,1,Zyzomys pedunculatus,Central Rock-rat
5,2,Anthochaera phrygia,Regent Honeyeater
5,2,Burramys parvus,Mountain Pygmy-possum
6,2,Anthochaera phrygia,Regent Honeyeater
6,2,Chelonia mydas,Green Turtle
7,2,Anthochaera phrygia,Regent Honeyeater
7,2,Gymnobelideus leadbeateri,Leadbeater's Possum
8,2,Anthochaera phrygia,Regent Honeyeater
8,2,Lathamus discolor,Swift Parrot
9,2,Anthochaera phrygia,Regent Honeyeater
9,2,Litoria raniformis,Growling Grass Frog
10,1,Acacia peuce,Waddy
11,1,Anthochaera phrygia,Regent Honeyeater
12,1,Astacopsis gouldi,Giant Freshwater Crayfish
13,1,Botaurus poiciloptilus,Australasian Bittern
14,1,Burramys parvus,Mountain Pygmy-possum
15,1,Calyptorhynchus banksii graptogyne,South-eastern Red-tailed Black-Cockatoo
16,1,Chelonia mydas,Green Turtle
17,1,Craterocephalus fluviatilis,Murray Hardyhead
18,1,Ctenophorus yinnietharra,Yinnietharra Rock-Dragon
19,1,Dasyurus geoffroii,Chuditch
20,1,Dasyurus hallucatus,Northern Quoll
21,1,Dasyurus viverrinus,Eastern Quoll
22,1,Delma torquata,Adorned Delma
23,2,Leipoa ocellata,Malleefowl
23,2,Macrotis lagotis,Greater Bilby
24,2,Leipoa ocellata,Malleefowl
24,2,Miniopterus orianae bassanii,Southern Bent-wing Bat
25,2,Leipoa ocellata,Malleefowl
25,2,Myrmecobius fasciatus,Numbat
26,2,Leipoa ocellata,Malleefowl
26,2,Neophema chrysogaster,Orange-bellied Parrot
27,1,Dichanthium queenslandicum,King Blue-grass
28,1,Dryococelus australis,Lord Howe Island Phasmid
29,1,Erythrotriorchis radiatus,Red Goshawk
30,1,Galaxias tantangara,Stocky Galaxias
31,1,Gymnobelideus leadbeateri,Leadbeater's Possum
32,1,Lathamus discolor,Swift Parrot
33,1,Leipoa ocellata,Malleefowl
34,1,Lepidochelys olivacea,Olive Ridley Turtle
35,1,Liopholis kintorei,Great Desert Skink
36,1,Litoria raniformis,Growling Grass Frog
37,1,Macrotis lagotis,Greater Bilby
38,1,Macrozamia macdonnellii,MacDonnell Ranges Cycad
39,2,Anthochaera phrygia,Regent Honeyeater
39,2,"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)",Koala (combined populations of Queensland
40,2,Botaurus poiciloptilus,Australasian Bittern
40,2,Anthochaera phrygia,Regent Honeyeater
41,2,Botaurus poiciloptilus,Australasian Bittern
41,2,Lathamus discolor,Swift Parrot
42,2,Botaurus poiciloptilus,Australasian Bittern
